slug,version_slug,kind,provider,endpoint,region,credential_policy,lanes,health_status,adapter_tested_at,approval_status,approval_owner,approved_at,approved_until,enabled,notes,compute_provider,image_version,model_checksum
veo-3.1-lite@fal,veo-3.1-lite,managed_api,fal,fal-ai/veo3.1/lite/text-to-video,us,either,finish,down,2026-09-09,retired,programme-lead,2026-09-09,2026-12-31,false,retired 2026-09-13 after the first real generation: this fal path does not exist. Replaced by veo-3.1-lite@fal-r2.,fal,,
ltx-2.5@fal,ltx-2.5,managed_api,fal,fal-ai/ltx-2.5/text-to-video,us,either,explore|control,down,2026-09-09,retired,programme-lead,2026-09-09,2026-12-31,false,retired 2026-09-13 after the first real generation: this fal path does not exist. Replaced by ltx-2.5-fast@fal.,fal,,
stable-audio-3@fal,stable-audio-3,managed_api,fal,fal-ai/stable-audio-3/sfx,us,either,explore,down,2026-09-09,retired,programme-lead,2026-09-09,2026-12-31,false,retired 2026-09-13 after the first real generation: this fal path does not exist. Replaced by stable-audio-2.5@fal.,fal,,
kling-3@fal,kling-3,managed_api,fal,fal-ai/kling-video/v3/standard/image-to-video,cn,platform,finish,untested,,draft,,,,false,Draft: not selectable.,fal,,
flux-2-dev@fal,flux-2-dev,managed_api,fal,fal-ai/flux-2/dev,us,platform,explore,untested,,draft,,,,false,Draft: licence non-commercial.,fal,,
chatterbox-1@replicate,chatterbox-1,managed_api,replicate,resemble-ai/chatterbox,us,platform,voice_likeness,untested,,draft,,,,false,Draft: Phase 2.,replicate,,
ltx-2.5@crusoe,ltx-2.5,self_hosted,selfhosted,http://ltx.internal:8080/generate,us,platform,explore|control,untested,,draft,,,,false,Phase 4 self-hosted route on Crusoe Cloud (stranded-energy + renewable GPU compute). image_version/model_checksum are TBD placeholders until the image is built. The one profile that can reach disclosure tier A: measured GPU watts x generation time.,crusoe,TBD,TBD
ltx-2.5-fast@fal,ltx-2.5-fast,managed_api,fal,lightricks/ltx-2.5/text-to-video/fast,us,either,explore|control,untested,2026-09-13,approved,programme-lead,2026-09-13,2026-12-31,true,Endpoint verified 2026-09-13; cents verified against fal pricing 2026-09-22 (720p). Self-hosted profile is Phase 4.,fal,,
veo-3.1-lite@fal-r2,veo-3.1-lite,managed_api,fal,fal-ai/veo3.1/lite,us,either,finish,untested,2026-09-13,approved,programme-lead,2026-09-13,2026-12-31,true,Endpoint verified 2026-09-13; cents verified against fal pricing 2026-09-22 (720p).,fal,,
stable-audio-2.5@fal,stable-audio-2.5,managed_api,fal,fal-ai/stable-audio-25/text-to-audio,us,either,explore,untested,2026-09-13,approved,programme-lead,2026-09-13,2026-12-31,true,Endpoint verified 2026-09-13; cents verified against fal pricing 2026-09-22 (720p).,fal,,
ltx-2.5-pro@fal,ltx-2.5-pro,managed_api,fal,lightricks/ltx-2.5/text-to-video/pro,us,either,control|finish,untested,2026-09-13,approved,programme-lead,2026-09-13,2026-12-31,true,Endpoint verified 2026-09-13; cents verified against fal pricing 2026-09-22 (720p).,fal,,
