slug,model_slug,version,weights_status,license_family,license_version,license_url,commercial_eligibility,training_data_disclosure,output_rights_summary,self_hostable,voice_likeness_risk,release_eligible,integrity_rating,indemnification,min_content_tier,limitations,safety_pipeline_version,approval_status,approval_owner,approved_at,approved_until,notes,resource_disclosure,resource_disclosure_source
veo-3.1-lite,veo,3.1-lite,closed,Google Cloud Generative AI terms,2026-05,https://cloud.google.com/terms/generative-ai,allowed,opt_out,Outputs owned by the customer; Google indemnifies eligible uses.,false,low,true,high,true,M,No character consistency across shots; 8s max.,pg-1,approved,programme-lead,2026-09-09,2026-12-31,Phase 1 Finish route. UNVERIFIED terms link — confirm before cohort start.,B,Google 2025 per-prompt disclosure covers text (Gemini) only; video generation not broken out. HF/CMU text-to-video scaling study applies.
ltx-2.5,ltx,2.5,open_weight,LTX-2.5 Open Weights License,2.5,https://huggingface.co/Lightricks/LTX-2.5,threshold,undisclosed,Outputs usable; commercial use above the revenue threshold requires a licence from Lightricks.,true,low,true,medium,false,M,Struggles with hands and text; 8s max at draft quality.,pg-1,approved,programme-lead,2026-09-09,2026-12-31,Phase 1 Explore/Control route (managed API for now; self-hosted profile is Phase 4).,B,Open weights; HF/CMU scaling study. Becomes A once measured on the self-hosted profile.
stable-audio-3,stable-audio,3,open_weight,Stability AI Community License,2026,https://stability.ai/license,threshold,licensed,Outputs usable; enterprise licence above USD 1M revenue.,true,none,true,high,false,M,Up to 30s; no dialogue.,pg-1,approved,programme-lead,2026-09-09,2026-12-31,Phase 1 SFX route.,B,Open weights; measurable when self-hosted. No vendor figure.
kling-3,kling,3,closed,Kling API terms,2026,https://klingai.com/,allowed,undisclosed,Per vendor terms; review before release.,false,low,false,medium,false,M,Chinese-hosted; data residency review pending.,pg-1,draft,,,,Not selectable until rights + residency reviewed.,C,No vendor disclosure.
flux-2-dev,flux,2-dev,open_weight,FLUX.2 [dev] Non-Commercial License,2.0,https://huggingface.co/black-forest-labs/FLUX.2-dev/blob/main/LICENSE.md,non_commercial,undisclosed,Non-commercial only; outputs may not be released commercially.,true,high,false,medium,false,M,Non-commercial licence blocks Release. A pro/licensed version would be a separate row.,pg-1,draft,,,,Not selectable: licence blocks release. Consider FLUX.2 pro via API as a separate version.,B,Open weights; measurable when self-hosted. No vendor figure.
chatterbox-1,chatterbox,1,open_source,MIT,1.0,https://resemble.ai/learn/models/chatterbox,allowed,undisclosed,Outputs usable; voice cloning subject to consent of the voice owner.,true,high,true,medium,false,M,Voice cloning from short samples — high likeness risk.,pg-1,draft,,,,Phase 2 voice route; needs the voice_likeness lane + consent workflow first.,B,Open source; measurable when self-hosted. No vendor figure.
ltx-2.5-fast,ltx,2.5-fast,open_weight,LTX-2.5 Open Weights License,2.5,https://huggingface.co/Lightricks/LTX-2.5,threshold,undisclosed,Outputs usable; commercial use above the revenue threshold requires a licence from Lightricks.,true,low,true,medium,false,M,Struggles with hands and text; 8s max at draft quality.,pg-1,approved,programme-lead,2026-09-09,2026-12-31,Phase 1 Explore/Control route: the distilled fast release fal serves (lightricks/ltx-2.5/*/fast). Verified 2026-09-13.,B,Open weights; HF/CMU scaling study. Becomes A once measured on the self-hosted profile.
stable-audio-2.5,stable-audio,2.5,open_weight,Stability AI Community License,2026,https://stability.ai/license,threshold,licensed,Outputs usable; enterprise licence above USD 1M revenue.,true,none,true,high,false,M,Up to 30s; no dialogue.,pg-1,approved,programme-lead,2026-09-09,2026-12-31,Phase 1 SFX route: the release fal actually serves (stable-audio-25). Verified 2026-09-13.,B,Open weights; measurable when self-hosted. No vendor figure.
ltx-2.5-pro,ltx,2.5-pro,open_weight,LTX-2.5 Open Weights License,2.5,https://huggingface.co/Lightricks/LTX-2.5,threshold,undisclosed,Outputs usable; commercial use above the revenue threshold requires a licence from Lightricks.,true,low,true,medium,false,M,Up to 10 s at 1080p; slower than fast.,pg-1,approved,programme-lead,2026-09-09,2026-12-31,Finish/Control route: the full-quality release (lightricks/ltx-2.5/*/pro). Same family as fast so the look carries from previz to finish. Verified 2026-09-13.,B,Open weights; HF/CMU scaling study. Becomes A once measured on the self-hosted profile.
flux-2-pro-edit,flux-edit,2-pro-edit,closed,Black Forest Labs API terms,2026,https://bfl.ai/legal/terms-of-service,allowed,undisclosed,Outputs owned by the customer under BFL API terms.,false,low,true,medium,false,M,Up to 9 reference images; faces hold better than wardrobe; text in image unreliable.,pg-1,approved,programme-lead,2026-09-24,2026-12-31,Keyframe route (RENDER_PLAN step 2). Multi-reference edit; endpoint verified against fal docs 2026-09-24.,B,fal hosted; no vendor figure.
qwen-image-edit-2511-angles,qwen-angles,2511-multiple-angles,open_weight,Apache-2.0 (Qwen-Image-Edit) + fal LoRA,2511,https://huggingface.co/fal/Qwen-Image-Edit-2511-Multiple-Angles-LoRA,allowed,undisclosed,Open weights; outputs usable.,true,low,true,medium,false,M,Angles within ~90° of the source hold layout; beyond that the model hallucinates the unseen side.,pg-1,approved,programme-lead,2026-09-24,2026-12-31,Set-board route (RENDER_PLAN step 2): master wide → canonical angles. Endpoint verified against fal docs 2026-09-24.,B,Open weights; measurable when self-hosted.
